controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter
expert_heuristic,0,42,76.46243770147169,3.058877852100149e-09,0.4000000000000002,68.17217826843262,76.46246,155.0,0.0,True,True,results_pub_cantilever_2d_review_r0_expert_heuristic,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
fixed,0,42,80.97839954926438,0.09842448095339591,0.39999999996233165,60.477747440338135,80.97907,300.0,0.09841,True,False,results_pub_cantilever_2d_review_r0_fixed,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
fixed_tail,0,42,75.80746110676509,8.310771798706213e-07,0.4000000000000005,67.41761040687561,80.97907,300.0,0.09841,True,True,results_pub_cantilever_2d_review_r0_fixed_tail,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
grayness_rule,0,42,79.60493095040177,3.1668175303224114e-09,0.4000000000000003,67.68010997772217,79.60493,300.0,0.0,True,True,results_pub_cantilever_2d_review_r0_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
grayness_rule_restart,0,42,79.60493095040177,3.1668175303224114e-09,0.4000000000000003,38.95286011695862,79.60493,300.0,0.0,True,True,results_pub_cantilever_2d_review_r0_grayness_rule_restart,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,109.81384444236755,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
llm_agent_no_meta,0,42,75.72518481201163,3.8748610503322804e-09,0.39999999999999986,96.53461170196533,75.72519,278.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent_no_meta,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
llm_agent_no_restart,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,116.42981600761414,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent_no_restart,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
schedule_only,0,42,81.32956852622222,8.869214038590095e-09,0.4000000000000001,67.41813969612122,81.32957,256.0,0.0,True,True,results_pub_cantilever_2d_review_r0_schedule_only,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
tail_only,0,42,187.60886996408166,0.00023879129569781823,0.39999999999989627,18.236079216003418,inf,0.0,0.96,False,True,results_pub_cantilever_2d_review_r0_tail_only,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
three_field_continuation,0,42,76.7861641615758,3.450263832485433e-09,0.4,67.71342730522156,76.78618,96.0,0.0,True,True,results_pub_cantilever_2d_review_r0_three_field_continuation,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300
